model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
SARSA;decaying_epsilon;C;0.3;0.6;0.15;euclidean;consistent;87.66666666666667;0.4714045207910317;3.0933333333333337;0.14522013940527975
SARSA;decaying_epsilon;D;0.3;0.6;0.15;cosine;consistent;90.66666666666667;0.4714045207910317;2.796666666666667;0.15412837362262527
SARSA;decaying_epsilon;D;0.3;0.6;0.15;euclidean;consistent;88.0;4.242640687119285;2.9233333333333333;0.16213848676020418
SARSA;decaying_epsilon;E;0.3;0.6;0.15;cosine;consistent;83.33333333333333;6.342099196813483;2.81;0.2649528259898353
SARSA;decaying_epsilon;E;0.3;0.6;0.15;euclidean;consistent;81.33333333333333;0.4714045207910317;3.24;0.05354126134736333
SARSA;ucb;A;0.3;0.6;0.15;cosine;consistent;79.66666666666667;0.4714045207910317;2.8666666666666667;0.030912061651652438
SARSA;ucb;A;0.3;0.6;0.15;euclidean;consistent;80.66666666666667;3.2998316455372216;2.81;0.09201449161228166
SARSA;ucb;B;0.3;0.6;0.15;cosine;consistent;64.33333333333333;4.0276819911981905;3.4433333333333334;0.0837987005998435
SARSA;ucb;B;0.3;0.6;0.15;euclidean;consistent;65.66666666666667;1.247219128924647;3.4166666666666665;0.1675974011996871
SARSA;ucb;C;0.3;0.6;0.15;cosine;consistent;87.33333333333333;2.6246692913372702;2.9899999999999998;0.1576916823001984
SARSA;ucb;C;0.3;0.6;0.15;euclidean;consistent;88.0;3.7416573867739413;3.233333333333334;0.138884444373331
SARSA;ucb;D;0.3;0.6;0.15;cosine;consistent;78.33333333333333;1.247219128924647;3.296666666666667;0.17133463034528526
SARSA;ucb;D;0.3;0.6;0.15;euclidean;consistent;76.66666666666667;3.858612300930075;3.143333333333333;0.12472191289246483
SARSA;ucb;E;0.3;0.6;0.15;cosine;consistent;82.0;4.320493798938574;3.216666666666667;0.32826141344293824
SARSA;ucb;E;0.3;0.6;0.15;euclidean;consistent;83.33333333333333;3.39934634239519;3.1;0.14966629547095764
Expected-SARSA;epsilon_greedy;A;0.3;0.6;0.15;cosine;consistent;79.0;0.816496580927726;2.766666666666667;0.02624669291337269
Expected-SARSA;epsilon_greedy;A;0.3;0.6;0.15;euclidean;consistent;80.66666666666667;5.436502143433364;2.7566666666666664;0.23156472577277865
Expected-SARSA;epsilon_greedy;B;0.3;0.6;0.15;cosine;consistent;68.0;2.160246899469287;3.296666666666667;0.06548960901462822
Expected-SARSA;epsilon_greedy;B;0.3;0.6;0.15;euclidean;consistent;73.0;3.265986323710904;3.2066666666666666;0.2828819934570283
Expected-SARSA;epsilon_greedy;C;0.3;0.6;0.15;cosine;consistent;88.66666666666667;4.0276819911981905;2.92;0.13490737563232044
Expected-SARSA;epsilon_greedy;C;0.3;0.6;0.15;euclidean;consistent;88.66666666666667;0.4714045207910317;3.0033333333333334;0.312018517968975
Expected-SARSA;epsilon_greedy;D;0.3;0.6;0.15;cosine;consistent;87.33333333333333;3.681787005729087;2.8699999999999997;0.16872067646458355
Expected-SARSA;epsilon_greedy;D;0.3;0.6;0.15;euclidean;consistent;86.0;2.449489742783178;2.776666666666667;0.10208928554075702
Expected-SARSA;epsilon_greedy;E;0.3;0.6;0.15;cosine;consistent;83.66666666666667;6.944222218666553;3.17;0.1256980508997653
Expected-SARSA;epsilon_greedy;E;0.3;0.6;0.15;euclidean;consistent;87.66666666666667;5.2493385826745405;2.8699999999999997;0.2673325020768457
